Tool,Current Message,New Message
company_search,"Searching for company...","Looking up that company for you..."
company_search,"Fetching data.","Pulling together the details..."
top_social,"Semantic search was disabled due to your filter set's composition.","Heads up: using exact matching for this search."
top_social,"Preparing search.","Getting things ready..."
top_social,"Fetching from social media.","Checking social channels..."
top_social,"Computing most relevant posts.","Finding the posts that matter most..."
base,"Crafting query.","Putting together your search..."
fetch_company,"Fetching company details.","Grabbing company info..."
find_journalist,"Fetching journalist data.","Looking up journalist details..."
story_journalists,"Fetching authors.","Finding the writers behind this..."
story_journalists,"Fetching additional information.","Digging up a bit more..."
source_ids,"Searching for sources.","Tracking down sources..."
source_ids,"Fetching source identifiers.","Matching up the sources..."
top_influencers_by_metrics,"Fetching influencers.","Finding key voices..."
top_influencers_by_metrics,"Ranking influencers by your metrics.","Sorting by what matters to you..."
hot_topic_alerts,"Creating a new saved search for the alert: {search_name}","Setting up your alert for {search_name}..."
hot_topic_alerts,"Retrieving relevant saved searches for creating the requested alert.","Checking your saved searches..."
saved_filter,"Checking for saved filter sets.","Looking for your saved filters..."
consumer_insights,"Retrieving data for Consumer Insights analysis...","Gathering consumer insights..."
plot_chart,"Generating chart: {title}","Building your chart: {title}..."
fetch_article,"Fetching article.","Pulling up that article..."
news_disclosure_performance,"Analyzing article performance.","Seeing how that article performed..."
contact_search,"Searching contacts.","Looking through contacts..."
contact_search,"Finding journalist profiles.","Finding journalist profiles..."
top_influencers,"Getting top influencers.","Spotting the top voices..."
metrics,"Retrieving data for Metric Aggregation analysis...","Crunching the numbers..."
top_news,"Gathering data for top stories. This may take longer than usual.","Rounding up top stories, this one might take a moment..."
saved_searches,"Checking for saved searches.","Checking your saved searches..."
top_social,"Retrieving data for Top Social analysis...","Scanning social for highlights..."
press_release_impact,"Measuring impact of the article.","Checking how far this reached..."
journalist_articles,"Retrieving journalist articles.","Pulling their recent work..."
journalist_articles,"Processing articles.","Going through the articles..."
media_brief,"Collecting information for your media brief. This may take longer than usual.","Putting together your media brief, hang tight..."
media_brief,"Fetching articles and social media content.","Gathering articles and social posts..."
